,License_plate_number,Distance,Number_of_Trips_Completed,Average_Speed,Transporter_Name,Number_of_Speed_Violations
2736,GJ06AV1137,1032622238.2146928,1,8.8152679596399,Shiva roadlines,14
2737,GJ25U2270,313525780.83363813,1,12.598245131909549,Jagdish Petroleum,0
2738,HR55W4557,404306158.7840717,1,14.583354066355428,Jai Maa Santoshi Filling Station,2
2739,DD03H9443,461532694.55028045,1,19.120612149993658,Susveer Kumar,0
2740,GJ03BT1001,1059752556.8641766,1,4.349970415230935,J K Roadlines,9
2741,GJ15UU2199,229209494.86735216,1,11.670975602508097,Vandana Roadlines,0
2742,HR46D7535,795616603.3369915,1,2.426344687802517,Ch Kartar Filling Station,65
2743,GJ19T5458,875230137.9688793,1,23.099428771683897,Omshree Filling Station,64
2744,HR56A9925,384266345.9796416,1,16.159482304018322,Sun Shine Roadlines,23
2745,GJ19T5458,875230137.9688793,1,23.099428771683897,Omshree Filling Station,64
2746,HR46D6654,530859619.84874254,1,26.05287662848649,SRR Filling Station,22
2747,HR45B4271,940134100.3174468,1,8.26673031320255,Ahuja Service Station,3
2748,HR45B8761,387882627.9421727,1,20.5416486707871,Ahuja Service Station,119
2749,BR01GF5796,662300357.751919,1,7.042249152121763,Jay Mata Di Service,0
2750,DL1GB7426,302300289.22996396,1,15.443068213755168,Sikander Oil Carrier,23
2751,BR01GG3237,873886224.8615469,1,6.257569743255902,MAA JAGDAMBA PETROLEUM SERVICES,64
2752,HP17D7347,255330606.36329418,1,16.62760469464531,Jai Maa Santoshi Filling Station,136
2753,BR01GG3237,873886224.8615469,1,6.257569743255902,MAA JAGDAMBA PETROLEUM SERVICES,64
2754,GJ5AT1496,1002007868.1728262,1,9.089344201280333,IDEAL MOVERS (P). LTD,3
2755,BR9E3138,518248870.1623095,1,13.158669114395595,OD MOTOR SERVICE,0
2756,GJ3AT0501,948797131.2623241,1,2.2262128411979223,Shree Gurudev Transport,0
2757,GJ3AT0501,948797131.2623241,1,2.2262128411979223,Shree Gurudev Transport,0
2758,GJ19U4963,465975281.3690454,1,19.343169229904124,Shree Ganesh Transport,1
2759,BR9E4140,456301477.0098641,1,13.370613370507304,Sultania Carriers Private Limited,1
2760,HR61B4256,838912904.8447772,1,14.769463356581424,Guru Jambheswar Fuels,218
2761,GJ5AT1496,1002007868.1728262,1,9.089344201280333,IDEAL MOVERS (P). LTD,3
2762,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
